TYP;Id_Men;Id_Pers;Sexe;Age;Dipl
T4;1;1;1;24;Z
T4;1;2;2;27;Z
T4;2;3;1;32;B
T4;2;4;2;23;Z
T4;3;5;1;21;Z
T4;3;6;2;22;Z
T4;4;7;1;26;Z
T4;4;8;2;23;Z
T4;5;9;1;39;D
T4;5;10;2;28;Z
T4;6;11;1;27;Z
T4;6;12;2;33;D
T4;7;13;1;29;Z
T4;7;14;2;24;Z
T4;8;15;1;26;Z
T4;8;16;2;23;Z
T4;9;17;1;53;B
T4;9;18;2;15;Z
T4;10;19;1;19;Z
T4;10;20;2;19;Z
T4;11;21;1;22;Z
T4;11;22;2;38;D
T4;12;23;1;40;D
T4;12;24;2;22;Z
T4;13;25;1;22;Z
T4;13;26;2;29;Z
T4;14;27;1;22;Z
T4;14;28;2;24;Z
T4;15;29;1;25;Z
T4;15;30;2;20;Z
T4;16;31;1;32;D
T4;16;32;2;22;Z
T4;17;33;1;18;Z
T4;17;34;2;30;B
T4;18;35;1;29;Z
T4;18;36;2;15;Z
T4;19;37;1;23;Z
T4;19;38;2;15;Z
T4;20;39;1;23;Z
T4;20;40;2;29;Z
T4;21;41;1;64;B
T4;21;42;2;72;B
T4;22;43;1;25;Z
T4;22;44;2;62;A
T4;23;45;1;28;Z
T4;23;46;2;28;Z
T4;24;47;1;21;Z
T4;24;48;2;28;Z
T4;25;49;1;24;Z
T4;25;50;2;31;A
T4;26;51;1;56;D
T4;26;52;2;27;Z
T4;27;53;1;27;Z
T4;27;54;2;20;Z
T4;28;55;1;23;Z
T4;28;56;2;22;Z
T4;29;57;1;26;Z
T4;29;58;2;25;Z
T4;30;59;1;28;Z
T4;30;60;2;37;A
T4;31;61;1;42;B
T4;31;62;2;36;D
T4;32;63;1;34;D
T4;32;64;2;24;Z
T4;33;65;1;26;Z
T4;33;66;2;60;C
T4;34;67;1;25;Z
T4;34;68;2;34;A
T4;35;69;1;20;Z
T4;35;70;2;27;Z
T4;36;71;1;25;Z
T4;36;72;2;23;Z
T4;37;73;1;21;Z
T4;37;74;2;64;C
T4;38;75;1;28;Z
T4;38;76;2;27;Z
T4;39;77;1;31;D
T4;39;78;2;23;Z
T4;40;79;1;23;Z
T4;40;80;2;31;B
T4;41;81;1;34;C
T4;41;82;2;23;Z
T4;42;83;1;33;D
T4;42;84;2;31;D
T4;43;85;1;27;Z
T4;43;86;2;21;Z
T4;44;87;1;74;D
T4;44;88;2;32;B
T4;45;89;1;32;C
T4;45;90;2;20;Z
T4;46;91;1;29;Z
T4;46;92;2;27;Z
T4;47;93;1;25;Z
T4;47;94;2;27;Z
T4;48;95;1;29;Z
T4;48;96;2;33;D
T4;49;97;1;38;B
T4;49;98;2;22;Z
T4;50;99;1;29;Z
T4;50;100;2;80;D
T4;51;101;1;38;A
T4;51;102;2;42;D
T4;52;103;1;27;Z
T4;52;104;2;31;D
T4;53;105;1;17;Z
T4;53;106;2;23;Z
T4;54;107;1;18;Z
T4;54;108;2;25;Z
T4;55;109;1;24;Z
T4;55;110;2;40;D
T4;56;111;1;71;D
T4;56;112;2;21;Z
T4;57;113;1;20;Z
T4;57;114;2;27;Z
T4;58;115;1;63;D
T4;58;116;2;27;Z
T4;59;117;1;25;Z
T4;59;118;2;26;Z
T4;60;119;1;24;Z
T4;60;120;2;15;Z
T4;61;121;1;32;D
T4;61;122;2;24;Z
T4;62;123;1;26;Z
T4;62;124;2;54;D
T4;63;125;1;30;D
T4;63;126;2;29;Z
T4;64;127;1;24;Z
T4;64;128;2;25;Z
T4;65;129;1;30;D
T4;65;130;2;31;C
T4;66;131;1;21;Z
T4;66;132;2;28;Z
T4;67;133;1;24;Z
T4;67;134;2;59;D
T4;68;135;1;25;Z
T4;68;136;2;48;D
T4;69;137;1;28;Z
T4;69;138;2;26;Z
T4;70;139;1;17;Z
T4;70;140;2;23;Z
T4;71;141;1;69;B
T4;71;142;2;71;C
T4;72;143;1;34;C
T4;72;144;2;29;Z
