TYP;Id_Men;Id_Pers;Sexe;Age;Dipl
T2;1;1;1;52;D
T2;1;2;1;24;Z
T2;2;3;1;22;Z
T2;2;4;2;19;Z
T2;3;5;2;17;Z
T2;3;6;2;24;Z
T2;4;7;1;25;Z
T2;4;8;2;21;Z
T2;5;9;1;46;D
T2;5;10;2;18;Z
T2;6;11;1;20;Z
T2;6;12;2;15;Z
T2;7;13;1;22;Z
T2;7;14;1;23;Z
T2;8;15;2;25;Z
T2;8;16;2;22;Z
T2;9;17;2;18;Z
T2;9;18;2;23;Z
T2;10;19;1;23;Z
T2;10;20;2;20;Z
T2;11;21;1;20;Z
T2;11;22;1;24;Z
T2;12;23;1;24;Z
T2;12;24;2;21;Z
T2;13;25;2;24;Z
T2;13;26;1;20;Z
T2;14;27;1;27;Z
T2;14;28;2;25;Z
T2;15;29;2;21;Z
T2;15;30;1;20;Z
T2;16;31;2;20;Z
T2;16;32;2;26;Z
T2;17;33;1;20;Z
T2;17;34;1;28;Z
T2;18;35;1;20;Z
T2;18;36;2;19;Z
T2;19;37;2;23;Z
T2;19;38;2;34;D
T2;20;39;1;19;Z
T2;20;40;1;22;Z
T2;21;41;1;25;Z
T2;21;42;1;22;Z
T2;22;43;1;21;Z
T2;22;44;2;20;Z
T2;23;45;1;22;Z
T2;23;46;1;26;Z
T2;24;47;2;18;Z
T2;24;48;1;30;A
T2;25;49;2;24;Z
T2;25;50;2;23;Z
T2;26;51;1;29;Z
T2;26;52;1;21;Z
T2;27;53;1;22;Z
T2;27;54;1;22;Z
T2;28;55;1;20;Z
T2;28;56;2;24;Z
T2;29;57;2;24;Z
T2;29;58;1;26;Z
T2;30;59;2;20;Z
T2;30;60;2;24;Z
T2;31;61;1;21;Z
T2;31;62;2;29;Z
T2;32;63;1;29;Z
T2;32;64;2;27;Z
T2;33;65;1;23;Z
T2;33;66;2;19;Z
T2;34;67;1;19;Z
T2;34;68;2;23;Z
T2;35;69;1;24;Z
T2;35;70;1;24;Z
T2;36;71;1;20;Z
T2;36;72;2;20;Z
T2;37;73;1;24;Z
T2;37;74;2;19;Z
T2;38;75;1;20;Z
T2;38;76;1;20;Z
T2;39;77;1;20;Z
T2;39;78;2;17;Z
T2;40;79;1;23;Z
T2;40;80;2;32;B
T2;41;81;2;21;Z
