TYP;Id_Men;Id_Pers;Sexe;Age;Dipl
T1;1;1;1;16;Z
T1;2;2;2;25;Z
T1;3;3;2;15;Z
T1;4;4;2;28;Z
T1;5;5;1;20;Z
T1;6;6;1;30;B
T1;7;7;2;23;Z
T1;8;8;2;20;Z
T1;9;9;2;17;Z
T1;10;10;2;20;Z
T1;11;11;2;18;Z
T1;12;12;1;19;Z
T1;13;13;2;24;Z
T1;14;14;1;16;Z
T1;15;15;2;22;Z
T1;16;16;2;21;Z
T1;17;17;1;18;Z
T1;18;18;2;28;Z
T1;19;19;2;25;Z
T1;20;20;2;20;Z
T1;21;21;2;18;Z
T1;22;22;1;20;Z
T1;23;23;1;31;B
T1;24;24;1;48;A
T1;25;25;1;29;Z
T1;26;26;2;57;A
T1;27;27;1;22;Z
T1;28;28;2;20;Z
T1;29;29;1;21;Z
T1;30;30;1;62;D
T1;31;31;1;36;D
T1;32;32;1;23;Z
T1;33;33;2;33;D
T1;34;34;2;24;Z
T1;35;35;2;20;Z
T1;36;36;2;25;Z
T1;37;37;1;30;C
T1;38;38;1;24;Z
T1;39;39;1;21;Z
T1;40;40;1;21;Z
T1;41;41;1;33;D
T1;42;42;2;16;Z
T1;43;43;1;18;Z
T1;44;44;1;18;Z
T1;45;45;1;19;Z
T1;46;46;2;21;Z
T1;47;47;2;21;Z
T1;48;48;1;24;Z
T1;49;49;2;22;Z
T1;50;50;2;15;Z
T1;51;51;2;22;Z
T1;52;52;2;23;Z
T1;53;53;2;37;C
T1;54;54;1;21;Z
T1;55;55;2;24;Z
T1;56;56;1;23;Z
T1;57;57;2;21;Z
T1;58;58;1;20;Z
T1;59;59;1;20;Z
T1;60;60;1;23;Z
T1;61;61;1;21;Z
T1;62;62;2;60;D
T1;63;63;1;35;A
T1;64;64;2;19;Z
T1;65;65;2;23;Z
T1;66;66;1;17;Z
T1;67;67;1;20;Z
T1;68;68;1;22;Z
T1;69;69;1;32;D
T1;70;70;1;18;Z
T1;71;71;1;34;C
T1;72;72;2;19;Z
T1;73;73;2;21;Z
T1;74;74;2;24;Z
T1;75;75;1;19;Z
T1;76;76;1;45;D
T1;77;77;2;26;Z
T1;78;78;1;23;Z
T1;79;79;2;22;Z
T1;80;80;2;27;Z
T1;81;81;1;20;Z
T1;82;82;2;20;Z
T1;83;83;1;26;Z
T1;84;84;2;28;Z
T1;85;85;1;56;A
T1;86;86;1;23;Z
T1;87;87;1;29;Z
T1;88;88;2;21;Z
T1;89;89;1;48;D
T1;90;90;2;19;Z
T1;91;91;1;20;Z
T1;92;92;2;45;D
T1;93;93;1;18;Z
T1;94;94;2;19;Z
T1;95;95;1;36;D
T1;96;96;1;29;Z
T1;97;97;1;23;Z
T1;98;98;1;20;Z
T1;99;99;2;17;Z
T1;100;100;1;25;Z
T1;101;101;2;56;B
T1;102;102;2;17;Z
T1;103;103;2;34;D
T1;104;104;2;23;Z
T1;105;105;2;82;D
T1;106;106;1;23;Z
T1;107;107;1;62;C
T1;108;108;2;20;Z
T1;109;109;1;23;Z
T1;110;110;1;33;D
T1;111;111;2;21;Z
T1;112;112;1;16;Z
T1;113;113;1;28;Z
T1;114;114;2;17;Z
T1;115;115;2;23;Z
T1;116;116;2;25;Z
T1;117;117;1;17;Z
T1;118;118;1;29;Z
T1;119;119;2;23;Z
T1;120;120;1;22;Z
T1;121;121;2;30;A
T1;122;122;2;62;D
T1;123;123;2;75;D
T1;124;124;1;36;A
T1;125;125;1;28;Z
T1;126;126;1;21;Z
T1;127;127;1;18;Z
T1;128;128;1;22;Z
T1;129;129;2;17;Z
T1;130;130;2;74;D
T1;131;131;2;22;Z
T1;132;132;2;17;Z
T1;133;133;1;29;Z
T1;134;134;1;18;Z
T1;135;135;1;24;Z
T1;136;136;2;22;Z
T1;137;137;2;35;B
T1;138;138;1;22;Z
T1;139;139;1;24;Z
T1;140;140;2;71;B
T1;141;141;2;24;Z
T1;142;142;1;25;Z
T1;143;143;2;16;Z
T1;144;144;2;25;Z
T1;145;145;1;17;Z
T1;146;146;1;25;Z
T1;147;147;1;17;Z
T1;148;148;1;30;D
T1;149;149;2;18;Z
T1;150;150;1;43;D
T1;151;151;2;66;A
T1;152;152;2;26;Z
T1;153;153;2;24;Z
T1;154;154;1;23;Z
T1;155;155;2;24;Z
T1;156;156;1;26;Z
T1;157;157;2;25;Z
T1;158;158;2;25;Z
T1;159;159;2;34;D
T1;160;160;2;39;C
T1;161;161;1;56;A
T1;162;162;1;24;Z
T1;163;163;2;16;Z
T1;164;164;1;56;A
T1;165;165;2;16;Z
T1;166;166;2;57;B
T1;167;167;1;34;D
T1;168;168;2;21;Z
T1;169;169;2;30;C
T1;170;170;1;21;Z
T1;171;171;2;23;Z
T1;172;172;2;15;Z
T1;173;173;2;15;Z
T1;174;174;1;27;Z
T1;175;175;1;23;Z
T1;176;176;2;58;B
T1;177;177;2;25;Z
T1;178;178;2;16;Z
T1;179;179;2;22;Z
T1;180;180;1;24;Z
T1;181;181;1;22;Z
T1;182;182;2;20;Z
T1;183;183;1;35;B
T1;184;184;1;16;Z
T1;185;185;1;23;Z
T1;186;186;1;24;Z
T1;187;187;2;23;Z
T1;188;188;1;32;D
T1;189;189;2;21;Z
T1;190;190;1;29;Z
T1;191;191;2;24;Z
T1;192;192;1;30;A
T1;193;193;1;24;Z
T1;194;194;1;37;D
T1;195;195;1;24;Z
T1;196;196;1;57;D
T1;197;197;2;23;Z
T1;198;198;1;23;Z
T1;199;199;2;19;Z
T1;200;200;2;27;Z
T1;201;201;2;25;Z
T1;202;202;1;59;C
T1;203;203;2;20;Z
T1;204;204;1;15;Z
T1;205;205;1;22;Z
T1;206;206;1;32;D
T1;207;207;1;24;Z
T1;208;208;1;18;Z
T1;209;209;1;19;Z
T1;210;210;1;24;Z
T1;211;211;1;16;Z
T1;212;212;1;27;Z
T1;213;213;2;23;Z
T1;214;214;2;19;Z
T1;215;215;2;32;C
T1;216;216;2;19;Z
T1;217;217;1;23;Z
T1;218;218;1;21;Z
T1;219;219;1;26;Z
T1;220;220;1;23;Z
T1;221;221;2;55;D
T1;222;222;1;20;Z
T1;223;223;1;16;Z
T1;224;224;1;21;Z
T1;225;225;2;17;Z
T1;226;226;1;57;D
T1;227;227;2;22;Z
T1;228;228;2;23;Z
T1;229;229;2;33;C
T1;230;230;2;22;Z
T1;231;231;2;27;Z
T1;232;232;1;27;Z
T1;233;233;2;17;Z
T1;234;234;2;25;Z
T1;235;235;2;23;Z
T1;236;236;2;18;Z
T1;237;237;2;24;Z
T1;238;238;1;25;Z
T1;239;239;1;34;D
T1;240;240;2;21;Z
T1;241;241;2;24;Z
T1;242;242;1;31;D
T1;243;243;1;27;Z
T1;244;244;2;20;Z
T1;245;245;1;30;A
T1;246;246;2;23;Z
T1;247;247;2;17;Z
T1;248;248;2;25;Z
T1;249;249;2;17;Z
T1;250;250;1;19;Z
T1;251;251;1;23;Z
T1;252;252;1;20;Z
T1;253;253;1;28;Z
T1;254;254;2;24;Z
T1;255;255;2;17;Z
T1;256;256;1;45;B
T1;257;257;1;22;Z
T1;258;258;2;24;Z
T1;259;259;1;21;Z
T1;260;260;1;35;C
T1;261;261;2;26;Z
T1;262;262;1;29;Z
T1;263;263;2;26;Z
T1;264;264;2;22;Z
T1;265;265;1;20;Z
T1;266;266;2;24;Z
T1;267;267;1;18;Z
T1;268;268;2;25;Z
T1;269;269;1;16;Z
T1;270;270;1;32;D
T1;271;271;2;19;Z
T1;272;272;2;20;Z
T1;273;273;1;35;D
T1;274;274;2;37;B
T1;275;275;2;26;Z
T1;276;276;1;34;B
T1;277;277;1;23;Z
T1;278;278;2;23;Z
T1;279;279;1;17;Z
T1;280;280;1;22;Z
T1;281;281;2;18;Z
T1;282;282;1;24;Z
T1;283;283;1;20;Z
T1;284;284;1;24;Z
T1;285;285;2;21;Z
T1;286;286;2;18;Z
T1;287;287;2;22;Z
T1;288;288;1;29;Z
T1;289;289;1;27;Z
T1;290;290;2;23;Z
T1;291;291;1;19;Z
T1;292;292;2;21;Z
T1;293;293;1;61;B
T1;294;294;2;21;Z
T1;295;295;1;16;Z
T1;296;296;1;16;Z
T1;297;297;1;24;Z
T1;298;298;2;25;Z
T1;299;299;1;15;Z
T1;300;300;2;60;C
T1;301;301;1;22;Z
T1;302;302;1;24;Z
T1;303;303;2;21;Z
T1;304;304;2;16;Z
T1;305;305;2;16;Z
T1;306;306;2;17;Z
T1;307;307;2;19;Z
T1;308;308;2;23;Z
T1;309;309;2;20;Z
T1;310;310;1;22;Z
T1;311;311;1;21;Z
T1;312;312;2;21;Z
T1;313;313;1;80;D
T1;314;314;2;24;Z
T1;315;315;2;19;Z
T1;316;316;2;18;Z
T1;317;317;1;25;Z
T1;318;318;2;19;Z
T1;319;319;2;18;Z
T1;320;320;2;68;D
T1;321;321;1;30;D
T1;322;322;2;20;Z
T1;323;323;2;20;Z
T1;324;324;1;37;D
T1;325;325;2;16;Z
T1;326;326;1;24;Z
T1;327;327;2;23;Z
T1;328;328;1;31;A
T1;329;329;1;19;Z
T1;330;330;1;24;Z
T1;331;331;2;24;Z
T1;332;332;2;21;Z
T1;333;333;2;25;Z
T1;334;334;1;17;Z
T1;335;335;1;27;Z
T1;336;336;2;19;Z
T1;337;337;2;22;Z
T1;338;338;1;24;Z
T1;339;339;2;22;Z
T1;340;340;1;23;Z
T1;341;341;1;24;Z
T1;342;342;1;49;D
T1;343;343;2;28;Z
T1;344;344;2;21;Z
T1;345;345;1;23;Z
T1;346;346;2;21;Z
T1;347;347;1;80;D
T1;348;348;2;25;Z
T1;349;349;1;57;A
T1;350;350;2;25;Z
T1;351;351;1;16;Z
T1;352;352;2;65;B
T1;353;353;1;31;A
T1;354;354;1;63;D
T1;355;355;1;17;Z
T1;356;356;1;23;Z
T1;357;357;2;21;Z
